shippingCode,paymentCode,orderID,phone,sku,email
GW,CCIN,6103662263,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW_installation,CCIN,6103917435,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW,CCIN,6130678856,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW_installation,CCIN,6105858965,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW,CCIN,6113692405,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW_installation,CCIN,6103279400,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW,CCIN,6113657460,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW_installation,CCIN,6100148436,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW,CCIN,6153077450,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
GW_installation,CCIN,6136908250,7777777777,"[{quantity:2,sku_id:SM-N950FZDDORX}]",swatestac135@gmail.com
