shippingCode,paymentCode,orderID,phone,sku,email
MyQLEDMyHome,BT,6150525053,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,COD,6153446066,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,6135071065,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,COD,6105963356,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6105805650,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6150025633,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6103625006,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW_installation,COD,6155086060,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6133442135,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6113796335,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLEDMyHome,BT,6130638633,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLEDMyHome,BT,6110609165,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,COD,6113772160,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,6133537155,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,COD,6153359633,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6113497653,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6110192056,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6115438356,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,COD,6100723355,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
UPS,COD,6133208300,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6136612305,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6100049133,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6106727336,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW_installation,COD,6113678333,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,COD,6110549163,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6105218166,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLEDMyHome,BT,6113807153,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,COD,6103997333,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,6150708036,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,COD,6105097360,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6156748330,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6110455330,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6103365350,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW_installation,COD,6153881166,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6110303635,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLEDMyHome,BT,6110145333,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW,COD,6115911136,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,6133965300,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,COD,6100275335,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6150855033,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6103305036,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6135486366,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
GW_installation,COD,6110766633,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6113225656,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
