shippingCode,paymentCode,orderID,phone,sku,email
personalPick,CCPP,1155059073,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personalPick,BT,1113737520,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personalPick,CCPP,1100244120,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
post,CCIN,1110194173,777777777777,"[{quantity:2,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,COD,1153104540,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myHome,BT,1130129180,777777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
messenger,BT,1105147023,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
messenger,COD,1155804071,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myQLEDmyHome,BT,1133934070,777777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
gw,COD,1136037176,777777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
gw,BT,1136748081,777777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
myQLED,BT,1135708623,777777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
post,BT,1133424673,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
post,CCIN,1135589180,777777777777,"[{quantity:2,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,COD,1105069076,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myHome,BT,1150544073,777777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
messenger,BT,1105054040,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
messenger,COD,1135639573,777777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myQLEDmyHome,BT,1136189523,777777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
