shippingCode,paymentCode,orderID,phone,sku,email
GW_installation,COD,6103638373,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,BT,6113022023,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLEDMyHome,BT,6110128590,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,CCIN,6115636170,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,COD,6113566520,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW,BT,6136676073,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,COD,6110360046,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
UPS,BT,6136031043,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyQLED,BT,6106123190,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
MyHome,BT,6155016075,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personal_pick,BT,6106006176,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personal_pick,CCPP,6103083196,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
GW_installation,CCIN,6105273346,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
