shippingCode,paymentCode,orderID,phone,sku,email
post,CCIN,1106035343,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,COD,1106756570,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
messenger,BT,1106790546,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
messenger,COD,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",
myHome,BT,1116362140,7777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
messenger,BT,1153582573,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
messenger,COD,1133648173,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myQLEDmyHome,BT,,,"[{quantity:1,sku_id:RS68N8671S9/EF}]",
gw,COD,,,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",
gw,BT,,,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",
myHome,BT,,,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",
myQLED,BT,,,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",
gw,COD,1100920390,7777777777,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]",swatestac135@gmail.com
gw,BT,1110000570,7777777777,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]",swatestac135@gmail.com
gw,COD,1103768370,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
gw,BT,1133572326,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
myQLED,BT,1136494373,7777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
personalPick,CCPP,1103458023,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personalPick,BT,1103679373,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personalPick,CC,,,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",
post,BT,1116834526,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
post,CCIN,1155914573,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
post,COD,1155442120,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
personalPick,BT,1115955323,7777777777,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]",swatestac135@gmail.com
post,BT,1130275325,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
