shippingCode,paymentCode,orderID,phone,sku,email
gw,COD,1113744731,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
gw,BT,1106830311,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
myHome,BT,1130865633,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
myQLED,BT,1110780060,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW},{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
gw,COD,1106746606,7777777777,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]",swatestac135@gmail.com
gw,BT,1113505300,7777777777,"[{quantity:1,sku_id:HW-NW700/EN},{quantity:1,sku_id:LC27FG73FQUXEN}]",swatestac135@gmail.com
post,BT,1153640333,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,CCIN,1100885536,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:2,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,COD,1133550011,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
gw,COD,1110217206,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
gw,BT,1156794403,7777777777,"[{quantity:1,sku_id:EF-ZG975CWEGWW}]",swatestac135@gmail.com
myQLED,BT,1155769430,7777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
post,BT,1106767710,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
post,CCIN,1100949730,7777777777,"[{quantity:2,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
post,COD,1116967401,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
myHome,BT,1110518416,7777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
messenger,BT,1136448960,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
messenger,COD,1110254961,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW}]",swatestac135@gmail.com
messenger,BT,1155543331,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
myQLEDmyHome,BT,1135418201,7777777777,"[{quantity:1,sku_id:RS68N8671S9/EF}]",swatestac135@gmail.com
messenger,COD,1110453311,7777777777,"[{quantity:1,sku_id:EF-AJ330TFEGWW},{quantity:1,sku_id:EB-P1100BSEGWW}]",swatestac135@gmail.com
